DATE       TIME         DOY     DST                                  
2018-02-21 14:00:00.000 052         6.00
2018-02-21 15:00:00.000 052         5.00
2018-02-21 16:00:00.000 052         5.00
2018-02-21 17:00:00.000 052         3.00
2018-02-21 18:00:00.000 052         7.00
2018-02-21 19:00:00.000 052         9.00
2018-02-21 20:00:00.000 052        11.00
2018-02-21 21:00:00.000 052        13.00
2018-02-21 22:00:00.000 052        13.00
2018-02-21 23:00:00.000 052         9.00
2018-02-22 00:00:00.000 053         4.00
2018-02-22 01:00:00.000 053         1.00
2018-02-22 02:00:00.000 053         1.00
2018-02-22 03:00:00.000 053         0.00
2018-02-22 04:00:00.000 053         1.00
2018-02-22 05:00:00.000 053         4.00
2018-02-22 06:00:00.000 053         5.00
2018-02-22 07:00:00.000 053         3.00
2018-02-22 08:00:00.000 053         1.00
2018-02-22 09:00:00.000 053        -1.00
2018-02-22 10:00:00.000 053        -2.00
2018-02-22 11:00:00.000 053         3.00
2018-02-22 12:00:00.000 053         6.00
2018-02-22 13:00:00.000 053         9.00
2018-02-22 14:00:00.000 053        10.00
2018-02-22 15:00:00.000 053         9.00
2018-02-22 16:00:00.000 053         8.00
2018-02-22 17:00:00.000 053         4.00
2018-02-22 18:00:00.000 053        -1.00
2018-02-22 19:00:00.000 053         0.00
2018-02-22 20:00:00.000 053         5.00
2018-02-22 21:00:00.000 053         2.00
2018-02-22 22:00:00.000 053         3.00
2018-02-22 23:00:00.000 053         1.00
2018-02-23 00:00:00.000 054         0.00
2018-02-23 01:00:00.000 054        -1.00
2018-02-23 02:00:00.000 054         0.00
2018-02-23 03:00:00.000 054        -6.00
2018-02-23 04:00:00.000 054        -9.00
2018-02-23 05:00:00.000 054        -3.00
2018-02-23 06:00:00.000 054        -7.00
2018-02-23 07:00:00.000 054       -10.00
2018-02-23 08:00:00.000 054        -5.00
2018-02-23 09:00:00.000 054       -16.00
2018-02-23 10:00:00.000 054       -16.00
2018-02-23 11:00:00.000 054       -17.00
2018-02-23 12:00:00.000 054        -7.00
2018-02-23 13:00:00.000 054        -2.00
2018-02-23 14:00:00.000 054         0.00
2018-02-23 15:00:00.000 054        -3.00
2018-02-23 16:00:00.000 054        -5.00
2018-02-23 17:00:00.000 054        -7.00
2018-02-23 18:00:00.000 054        -9.00
2018-02-23 19:00:00.000 054        -7.00
2018-02-23 20:00:00.000 054        -3.00
2018-02-23 21:00:00.000 054        -2.00
2018-02-23 22:00:00.000 054         5.00
2018-02-23 23:00:00.000 054         5.00
2018-02-24 00:00:00.000 055        -3.00
2018-02-24 01:00:00.000 055       -10.00
2018-02-24 02:00:00.000 055        -8.00
2018-02-24 03:00:00.000 055        -9.00
2018-02-24 04:00:00.000 055       -11.00
2018-02-24 05:00:00.000 055       -12.00
2018-02-24 06:00:00.000 055       -12.00
2018-02-24 07:00:00.000 055       -16.00
2018-02-24 08:00:00.000 055       -19.00
2018-02-24 09:00:00.000 055       -15.00
2018-02-24 10:00:00.000 055       -11.00
2018-02-24 11:00:00.000 055        -4.00
2018-02-24 12:00:00.000 055         1.00
2018-02-24 13:00:00.000 055         2.00
2018-02-24 14:00:00.000 055         1.00
2018-02-24 15:00:00.000 055        -1.00
